name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
MTR - Banashankari,Yes,No,NEW,0,HSR Layout,Beverage Shop,Kerala,150,Beverage Shop,HSR Layout
New Krishna Bhavan - MG Road,No,No,3.8/5,1197,Malleshwaram,Food Court,Burgers,450,Food Court,Malleshwaram
The Only Place - Jayanagar,Yes,No,4.1/5,3112,Bellandur,Beverage Shop,Rajasthani,150,Beverage Shop,Bellandur
Subway - Banashankari,Yes,Yes,4.2/5,2916,KR Puram,Dhaba,Kerala,250,Dhaba,KR Puram
Hotel Suprabhatha - Bellandur,Yes,No,3.8/5,1311,Basavanagudi,Beverage Shop,Italian,100,Beverage Shop,Basavanagudi
New Krishna Bhavan - Malleshwaram,Yes,Yes,3.7/5,560,Yelahanka,Desserts,Gujarati,250,Desserts,Yelahanka
Smoke House Deli - MG Road,No,No,3.9/5,2104,Hebbal,Food Court,South Indian,300,Food Court,Hebbal
The Fatty Bao - JP Nagar,No,Yes,3.8/5,2053,Whitefield,Food Court,Beverages,250,Food Court,Whitefield
Burger King - KR Puram,No,Yes,3.6/5,1598,Jayanagar,Sweet Shop,Rajasthani,350,Sweet Shop,Jayanagar
Cream Stone - Basavanagudi,No,No,2.9/5,944,Jayanagar,Sweet Shop,Gujarati,200,Sweet Shop,Jayanagar
Café Coffee Day - Basavanagudi,Yes,No,3.6/5,578,Malleshwaram,Bakery,Street Food,200,Bakery,Malleshwaram
New Krishna Bhavan - Yelahanka,No,No,3.1/5,914,Indiranagar,Bar,Continental,850,Bar,Indiranagar
Vidyarthi Bhavan - HSR Layout,Yes,No,3.5/5,161,KR Puram,Bar,Kerala,750,Bar,KR Puram
Pizza Hut - Bellandur,Yes,Yes,NEW,0,Electronic City,Beverage Shop,Italian,100,Beverage Shop,Electronic City
Toit - Koramangala,Yes,No,4.0/5,56,Electronic City,Desserts,Beverages,200,Desserts,Electronic City
Social - HSR Layout,Yes,No,4.7/5,1189,MG Road,Food Court,Kerala,350,Food Court,MG Road
Natural Ice Cream - Marathahalli,Yes,Yes,3.6/5,4044,Basavanagudi,Beverage Shop,Rolls,150,Beverage Shop,Basavanagudi
Café Coffee Day - Shivajinagar,Yes,No,NEW,0,Koramangala,Beverage Shop,Bengali,200,Beverage Shop,Koramangala
The Only Place - Hebbal,No,Yes,3.9/5,2980,Marathahalli,Delivery,Italian,250,Delivery,Marathahalli
Rajadhani - Shivajinagar,Yes,No,4.5/5,4906,Basavanagudi,Quick Bites,Street Food,250,Quick Bites,Basavanagudi
Third Wave Coffee - Sarjapur Road,Yes,No,4.1/5,4142,Banashankari,Quick Bites,Andhra,200,Quick Bites,Banashankari
Cream Stone - KR Puram,Yes,No,3.3/5,1413,Koramangala,Bakery,Chinese,200,Bakery,Koramangala
Meghana Foods - Whitefield,Yes,No,3.0/5,2415,HSR Layout,Casual Dining,Mughlai,550,Casual Dining,HSR Layout
KFC - MG Road,No,No,3.9/5,4083,Hebbal,Beverage Shop,Bengali,150,Beverage Shop,Hebbal
Chutney's - Whitefield,Yes,Yes,3.6/5,3388,Electronic City,Mess,Kerala,150,Mess,Electronic City
Sri Sairam Vegetarian - Rajajinagar,No,No,3.2/5,3203,Sarjapur Road,Dhaba,Desserts,300,Dhaba,Sarjapur Road
Barbeque Nation - Malleshwaram,No,Yes,3.1/5,1412,Koramangala,Dhaba,Burgers,150,Dhaba,Koramangala
Meghana Foods - MG Road,Yes,No,3.9/5,2629,Whitefield,Bakery,Desserts,300,Bakery,Whitefield
Pizza Hut - Marathahalli,Yes,No,4.6/5,571,Rajajinagar,Bar,South Indian,1050,Bar,Rajajinagar
Pizza Hut - Whitefield,No,No,3.5/5,1740,MG Road,Fine Dining,Bengali,750,Fine Dining,MG Road
Natural Ice Cream - Electronic City,No,No,4.0/5,3927,Electronic City,Bakery,Burgers,150,Bakery,Electronic City
Natural Ice Cream - Sarjapur Road,No,No,3.6/5,347,Koramangala,Mess,South Indian,150,Mess,Koramangala
Keventers - Jayanagar,No,No,3.1/5,844,JP Nagar,Sweet Shop,Beverages,50,Sweet Shop,JP Nagar
Smoke House Deli - Yelahanka,Yes,Yes,4.2/5,2665,Malleshwaram,Bar,Fast Food,400,Bar,Malleshwaram
Barbeque Nation - KR Puram,Yes,No,3.3/5,4592,Jayanagar,Delivery,Beverages,250,Delivery,Jayanagar
McDonald's - BTM,Yes,Yes,3.9/5,4791,MG Road,Bakery,Beverages,250,Bakery,MG Road
Keventers - Banashankari,No,No,3.5/5,3590,Whitefield,Bakery,Mughlai,250,Bakery,Whitefield
Domino's Pizza - BTM,Yes,Yes,4.3/5,2499,Hebbal,Pub,Fast Food,1100,Pub,Hebbal
Social - Yelahanka,Yes,No,3.3/5,542,Bellandur,Food Court,Burgers,300,Food Court,Bellandur
Vasudev Adiga's - JP Nagar,Yes,No,4.0/5,215,KR Puram,Desserts,Italian,150,Desserts,KR Puram
Truffles - JP Nagar,Yes,Yes,3.4/5,2900,Whitefield,Sweet Shop,North Indian,150,Sweet Shop,Whitefield
Subway - Indiranagar,Yes,No,3.6/5,4393,HSR Layout,Café,North Indian,250,Café,HSR Layout
Toit - Bellandur,No,Yes,1.9/5,1369,Malleshwaram,Lounge,Bengali,450,Lounge,Malleshwaram
The Only Place - KR Puram,Yes,No,4.9/5,285,Bellandur,Café,Kerala,350,Café,Bellandur
The Fatty Bao - HSR Layout,No,Yes,4.0/5,3059,Sarjapur Road,Fine Dining,Andhra,900,Fine Dining,Sarjapur Road
Blue Tokai - KR Puram,Yes,No,3.5/5,4221,Marathahalli,Mess,Burgers,100,Mess,Marathahalli
Barbeque Nation - MG Road,Yes,No,3.3/5,50,Marathahalli,Dhaba,Mughlai,250,Dhaba,Marathahalli
McDonald's - Shivajinagar,No,No,3.5/5,1725,Indiranagar,Casual Dining,Gujarati,500,Casual Dining,Indiranagar
Café Coffee Day - Jayanagar,No,Yes,4.1/5,4566,BTM,Fine Dining,Pizza,400,Fine Dining,BTM
KFC - Jayanagar,Yes,No,2.9/5,1399,Marathahalli,Café,Biryani,250,Café,Marathahalli
Vasudev Adiga's - Hebbal,No,No,3.6/5,3436,Indiranagar,Bar,Burgers,550,Bar,Indiranagar
Nandhini Hotel - Malleshwaram,Yes,No,4.7/5,3303,Bellandur,Bar,Burgers,900,Bar,Bellandur
McDonald's - Malleshwaram,Yes,No,NEW,0,Basavanagudi,Café,Kerala,450,Café,Basavanagudi
Social - JP Nagar,Yes,No,3.9/5,1329,KR Puram,Pub,Italian,550,Pub,KR Puram
Vidyarthi Bhavan - Indiranagar,Yes,Yes,NEW,0,Marathahalli,Mess,Desserts,50,Mess,Marathahalli
Chutney's - BTM,Yes,No,4.2/5,3322,Whitefield,Bakery,North Indian,250,Bakery,Whitefield
Wow Momo - KR Puram,Yes,Yes,3.9/5,2898,Jayanagar,Bar,Rolls,550,Bar,Jayanagar
Vidyarthi Bhavan - Basavanagudi,Yes,Yes,4.1/5,2389,MG Road,Bakery,Burgers,250,Bakery,MG Road
Vidyarthi Bhavan - BTM,Yes,Yes,3.6/5,748,Sarjapur Road,Quick Bites,Street Food,300,Quick Bites,Sarjapur Road
The Only Place - Koramangala,Yes,No,4.5/5,523,Rajajinagar,Desserts,Gujarati,200,Desserts,Rajajinagar
Vidyarthi Bhavan - Indiranagar,No,No,3.5/5,654,Marathahalli,Bar,Gujarati,500,Bar,Marathahalli
MTR - Banashankari,Yes,No,2.9/5,4601,Basavanagudi,Lounge,Rajasthani,550,Lounge,Basavanagudi
The Only Place - Sarjapur Road,Yes,Yes,3.7/5,4494,KR Puram,Quick Bites,Italian,100,Quick Bites,KR Puram
Corner House - MG Road,No,No,3.2/5,2953,Banashankari,Fine Dining,Biryani,950,Fine Dining,Banashankari
Domino's Pizza - Jayanagar,Yes,No,3.7/5,3189,Bellandur,Quick Bites,Andhra,200,Quick Bites,Bellandur
KFC - HSR Layout,Yes,No,3.7/5,2108,Shivajinagar,Mess,Italian,100,Mess,Shivajinagar
Subway - Basavanagudi,Yes,No,4.4/5,1938,Malleshwaram,Quick Bites,South Indian,200,Quick Bites,Malleshwaram
Blue Tokai - JP Nagar,Yes,No,4.2/5,1204,JP Nagar,Casual Dining,Pizza,250,Casual Dining,JP Nagar
Blue Tokai - Rajajinagar,No,Yes,3.8/5,4039,Rajajinagar,Desserts,Rolls,200,Desserts,Rajajinagar
Dindigul Thalappakatti - Whitefield,No,No,3.7/5,4082,JP Nagar,Lounge,Chinese,950,Lounge,JP Nagar
Byg Brewski - Rajajinagar,Yes,No,3.3/5,4062,KR Puram,Mess,Biryani,100,Mess,KR Puram
Brahmin's Coffee Bar - Rajajinagar,No,Yes,2.6/5,264,JP Nagar,Sweet Shop,Mughlai,350,Sweet Shop,JP Nagar
Shivaji Military Hotel - Malleshwaram,No,Yes,3.8/5,3334,Whitefield,Desserts,Italian,200,Desserts,Whitefield
Truffles - Whitefield,Yes,No,4.2/5,711,Sarjapur Road,Casual Dining,Burgers,700,Casual Dining,Sarjapur Road
Truffles - Hebbal,No,No,3.6/5,912,Marathahalli,Lounge,Pizza,1100,Lounge,Marathahalli
Chutney's - Whitefield,Yes,No,3.6/5,1734,KR Puram,Delivery,Beverages,150,Delivery,KR Puram
Corner House - Jayanagar,No,No,NEW,0,Banashankari,Quick Bites,Rolls,150,Quick Bites,Banashankari
Dindigul Thalappakatti - KR Puram,No,No,NEW,0,Rajajinagar,Lounge,Italian,600,Lounge,Rajajinagar
Starbucks - HSR Layout,Yes,Yes,4.7/5,331,BTM,Bar,Italian,250,Bar,BTM
Café Coffee Day - Marathahalli,Yes,No,4.5/5,3849,Banashankari,Food Court,Fast Food,350,Food Court,Banashankari
Kanti Sweets - Malleshwaram,Yes,No,4.3/5,3834,JP Nagar,Mess,Desserts,100,Mess,JP Nagar
Corner House - Indiranagar,Yes,No,4.2/5,151,Basavanagudi,Bar,Rajasthani,650,Bar,Basavanagudi
Starbucks - KR Puram,No,Yes,3.1/5,707,Malleshwaram,Lounge,Beverages,450,Lounge,Malleshwaram
Byg Brewski - Koramangala,No,No,4.0/5,420,BTM,Café,Biryani,450,Café,BTM
KFC - BTM,Yes,No,4.0/5,252,Bellandur,Desserts,Cafe Food,50,Desserts,Bellandur
Toit - JP Nagar,Yes,No,NEW,0,Basavanagudi,Quick Bites,Rajasthani,100,Quick Bites,Basavanagudi
Barbeque Nation - Rajajinagar,Yes,Yes,4.1/5,3555,KR Puram,Pub,South Indian,850,Pub,KR Puram
Domino's Pizza - Bellandur,Yes,No,4.1/5,292,Rajajinagar,Dhaba,Burgers,200,Dhaba,Rajajinagar
Hotel Suprabhatha - Hebbal,Yes,No,5.0/5,1240,Hebbal,Food Court,Biryani,250,Food Court,Hebbal
Truffles - Marathahalli,Yes,No,3.8/5,168,Whitefield,Fine Dining,Biryani,800,Fine Dining,Whitefield
Rajadhani - BTM,No,No,4.2/5,2781,Malleshwaram,Pub,Rolls,700,Pub,Malleshwaram
Rajadhani - MG Road,Yes,No,3.6/5,36,Bellandur,Pub,Cafe Food,900,Pub,Bellandur
Third Wave Coffee - Electronic City,Yes,No,4.2/5,1444,Koramangala,Casual Dining,Bengali,200,Casual Dining,Koramangala
Café Coffee Day - KR Puram,No,No,4.2/5,4391,Hebbal,Sweet Shop,Bengali,200,Sweet Shop,Hebbal
Domino's Pizza - HSR Layout,Yes,No,4.0/5,2367,Bellandur,Quick Bites,Chinese,300,Quick Bites,Bellandur
Dindigul Thalappakatti - Electronic City,No,No,4.5/5,922,JP Nagar,Quick Bites,Desserts,100,Quick Bites,JP Nagar
Hotel Suprabhatha - Koramangala,No,No,3.3/5,1820,Hebbal,Mess,Street Food,100,Mess,Hebbal
Wow Momo - KR Puram,Yes,No,3.6/5,2442,Sarjapur Road,Lounge,Rajasthani,700,Lounge,Sarjapur Road
Truffles - Banashankari,Yes,No,4.0/5,4744,HSR Layout,Bar,Italian,300,Bar,HSR Layout
Truffles - Koramangala,Yes,No,NEW,0,BTM,Bar,South Indian,650,Bar,BTM
Wow Momo - Bellandur,Yes,No,3.9/5,1662,Yelahanka,Food Court,Gujarati,350,Food Court,Yelahanka
Pizza Hut - Sarjapur Road,Yes,Yes,4.5/5,998,BTM,Beverage Shop,Rolls,250,Beverage Shop,BTM
Barbeque Nation - Koramangala,Yes,No,3.5/5,4181,Hebbal,Quick Bites,Continental,200,Quick Bites,Hebbal
Pizza Hut - Indiranagar,Yes,No,3.3/5,4302,KR Puram,Mess,Italian,100,Mess,KR Puram
Absolute Barbecues - Indiranagar,Yes,No,4.0/5,3946,HSR Layout,Desserts,Continental,300,Desserts,HSR Layout
Keventers - Indiranagar,Yes,No,3.8/5,2524,Indiranagar,Pub,Continental,500,Pub,Indiranagar
Corner House - Hebbal,No,Yes,4.0/5,130,Marathahalli,Pub,Beverages,400,Pub,Marathahalli
Social - Basavanagudi,Yes,No,3.8/5,4231,Marathahalli,Casual Dining,South Indian,400,Casual Dining,Marathahalli
Corner House - Basavanagudi,Yes,No,3.7/5,3417,JP Nagar,Fine Dining,Biryani,750,Fine Dining,JP Nagar
Keventers - Koramangala,Yes,No,3.8/5,2217,Yelahanka,Café,South Indian,300,Café,Yelahanka
Baskin-Robbins - Indiranagar,No,Yes,3.7/5,3016,Banashankari,Food Court,South Indian,250,Food Court,Banashankari
Shivaji Military Hotel - Basavanagudi,Yes,Yes,3.7/5,1186,Marathahalli,Café,Street Food,200,Café,Marathahalli
Subway - Sarjapur Road,No,No,3.6/5,4294,Indiranagar,Quick Bites,Fast Food,250,Quick Bites,Indiranagar
Punjabi Dhaba - MG Road,No,No,3.5/5,4834,Hebbal,Fine Dining,Bengali,800,Fine Dining,Hebbal
Hotel Suprabhatha - Banashankari,Yes,No,4.3/5,2812,Yelahanka,Bar,Cafe Food,1050,Bar,Yelahanka
Corner House - MG Road,No,Yes,3.8/5,1517,BTM,Café,Chinese,200,Café,BTM
New Krishna Bhavan - HSR Layout,Yes,No,5.0/5,4198,Banashankari,Delivery,Burgers,450,Delivery,Banashankari
Vasudev Adiga's - Malleshwaram,Yes,No,3.9/5,4643,KR Puram,Food Court,Street Food,350,Food Court,KR Puram
Punjabi Dhaba - Indiranagar,Yes,Yes,3.6/5,5,Malleshwaram,Dhaba,Desserts,200,Dhaba,Malleshwaram
Meghana Foods - Malleshwaram,Yes,No,5.0/5,710,Whitefield,Casual Dining,Cafe Food,250,Casual Dining,Whitefield
Baskin-Robbins - Basavanagudi,Yes,No,4.1/5,11,MG Road,Casual Dining,Continental,300,Casual Dining,MG Road
Byg Brewski - Indiranagar,No,Yes,4.2/5,2150,Hebbal,Bakery,Gujarati,350,Bakery,Hebbal
KFC - Jayanagar,Yes,No,4.1/5,1713,Basavanagudi,Lounge,Cafe Food,150,Lounge,Basavanagudi
Pizza Hut - MG Road,Yes,Yes,4.2/5,4522,HSR Layout,Pub,Bengali,300,Pub,HSR Layout
The Fatty Bao - Yelahanka,Yes,No,4.1/5,4266,Indiranagar,Mess,Mughlai,50,Mess,Indiranagar
The Only Place - JP Nagar,Yes,No,3.3/5,4184,Sarjapur Road,Café,Fast Food,400,Café,Sarjapur Road
Nandhini Hotel - Electronic City,No,No,3.9/5,3418,Marathahalli,Café,Pizza,350,Café,Marathahalli
Barbeque Nation - Malleshwaram,Yes,No,3.2/5,4950,Indiranagar,Delivery,Fast Food,150,Delivery,Indiranagar
KFC - Electronic City,Yes,No,3.8/5,3282,Basavanagudi,Café,Andhra,250,Café,Basavanagudi
Baskin-Robbins - Sarjapur Road,Yes,Yes,3.5/5,3604,HSR Layout,Food Court,Gujarati,300,Food Court,HSR Layout
Meghana Foods - KR Puram,Yes,No,4.0/5,2647,Banashankari,Café,Rolls,400,Café,Banashankari
Vasudev Adiga's - Whitefield,Yes,No,4.0/5,3596,Basavanagudi,Café,Rajasthani,200,Café,Basavanagudi
The Fatty Bao - MG Road,No,Yes,NEW,0,Hebbal,Café,Chinese,300,Café,Hebbal
Social - Whitefield,Yes,Yes,4.0/5,177,Malleshwaram,Food Court,Biryani,250,Food Court,Malleshwaram
Burger King - HSR Layout,No,Yes,3.4/5,2610,Shivajinagar,Café,Bengali,300,Café,Shivajinagar
Kanti Sweets - Electronic City,Yes,Yes,NEW,0,Koramangala,Desserts,North Indian,150,Desserts,Koramangala
Keventers - Jayanagar,Yes,No,4.3/5,553,KR Puram,Quick Bites,Street Food,200,Quick Bites,KR Puram
Chutney's - Jayanagar,Yes,No,4.4/5,3389,Basavanagudi,Food Court,Italian,200,Food Court,Basavanagudi
Natural Ice Cream - MG Road,No,No,3.1/5,241,KR Puram,Desserts,North Indian,200,Desserts,KR Puram
Pizza Hut - Bellandur,No,No,2.9/5,3999,MG Road,Fine Dining,Beverages,1250,Fine Dining,MG Road
Cream Stone - Koramangala,Yes,No,3.5/5,1379,JP Nagar,Bakery,Mughlai,350,Bakery,JP Nagar
Toit - Rajajinagar,No,No,4.2/5,1596,Rajajinagar,Lounge,Fast Food,1000,Lounge,Rajajinagar
Kanti Sweets - Koramangala,No,Yes,4.3/5,3529,Shivajinagar,Café,Biryani,350,Café,Shivajinagar
Meghana Foods - Banashankari,Yes,No,3.4/5,2004,Shivajinagar,Food Court,Pizza,400,Food Court,Shivajinagar
The Fatty Bao - MG Road,Yes,No,4.0/5,1946,KR Puram,Delivery,Biryani,50,Delivery,KR Puram
Barbeque Nation - Malleshwaram,Yes,Yes,4.8/5,1300,Electronic City,Bakery,Andhra,100,Bakery,Electronic City
Burger King - Rajajinagar,Yes,Yes,4.1/5,3089,KR Puram,Beverage Shop,Rolls,100,Beverage Shop,KR Puram
Burger King - BTM,No,No,4.4/5,3395,BTM,Beverage Shop,North Indian,100,Beverage Shop,BTM
Social - Indiranagar,No,No,4.2/5,1070,Marathahalli,Beverage Shop,Continental,200,Beverage Shop,Marathahalli
Smoke House Deli - KR Puram,Yes,No,3.4/5,4917,HSR Layout,Desserts,Mughlai,100,Desserts,HSR Layout
MTR - Yelahanka,Yes,No,3.8/5,3784,Koramangala,Quick Bites,Desserts,100,Quick Bites,Koramangala
Wow Momo - KR Puram,Yes,No,3.9/5,1788,Banashankari,Quick Bites,Desserts,200,Quick Bites,Banashankari
Smoke House Deli - Rajajinagar,No,No,3.8/5,4287,Koramangala,Desserts,Street Food,200,Desserts,Koramangala
The Fatty Bao - Koramangala,No,Yes,4.2/5,1772,Shivajinagar,Casual Dining,Andhra,550,Casual Dining,Shivajinagar
Vasudev Adiga's - Yelahanka,No,No,3.9/5,3805,JP Nagar,Quick Bites,Continental,200,Quick Bites,JP Nagar
MTR - Yelahanka,No,No,2.2/5,2214,KR Puram,Dhaba,Rolls,200,Dhaba,KR Puram
Hotel Suprabhatha - JP Nagar,Yes,Yes,3.2/5,56,Rajajinagar,Pub,North Indian,850,Pub,Rajajinagar
Byg Brewski - Yelahanka,Yes,No,2.8/5,237,Shivajinagar,Food Court,Cafe Food,200,Food Court,Shivajinagar
Burger King - Rajajinagar,Yes,No,3.9/5,732,MG Road,Desserts,Continental,200,Desserts,MG Road
Baskin-Robbins - HSR Layout,No,Yes,NEW,0,Sarjapur Road,Fine Dining,Continental,950,Fine Dining,Sarjapur Road
Corner House - Marathahalli,Yes,No,4.0/5,2824,Electronic City,Beverage Shop,Italian,150,Beverage Shop,Electronic City
Absolute Barbecues - Rajajinagar,Yes,Yes,3.4/5,1227,HSR Layout,Pub,Italian,800,Pub,HSR Layout
Empire Restaurant - Marathahalli,Yes,No,4.2/5,4237,Electronic City,Casual Dining,Gujarati,250,Casual Dining,Electronic City
Chutney's - Rajajinagar,No,Yes,4.1/5,2454,Shivajinagar,Delivery,Italian,400,Delivery,Shivajinagar
Corner House - MG Road,Yes,No,3.2/5,4911,Banashankari,Bakery,South Indian,200,Bakery,Banashankari
Barbeque Nation - Whitefield,Yes,No,3.1/5,4305,Shivajinagar,Sweet Shop,Biryani,150,Sweet Shop,Shivajinagar
Rajadhani - Koramangala,Yes,Yes,3.8/5,767,Sarjapur Road,Pub,Street Food,350,Pub,Sarjapur Road
Blue Tokai - JP Nagar,No,No,NEW,0,KR Puram,Casual Dining,Burgers,250,Casual Dining,KR Puram
Dindigul Thalappakatti - Malleshwaram,No,No,4.5/5,2424,Indiranagar,Dhaba,Italian,150,Dhaba,Indiranagar
Brahmin's Coffee Bar - Electronic City,Yes,No,4.1/5,3424,Indiranagar,Casual Dining,Street Food,250,Casual Dining,Indiranagar
Vidyarthi Bhavan - JP Nagar,No,Yes,3.3/5,4548,Electronic City,Sweet Shop,North Indian,100,Sweet Shop,Electronic City
Empire Restaurant - Jayanagar,Yes,No,4.3/5,713,Yelahanka,Delivery,Bengali,250,Delivery,Yelahanka
New Krishna Bhavan - Banashankari,Yes,No,3.6/5,85,Malleshwaram,Bakery,Bengali,300,Bakery,Malleshwaram
Kanti Sweets - Indiranagar,No,No,3.3/5,1578,KR Puram,Mess,Bengali,100,Mess,KR Puram
Kanti Sweets - Yelahanka,Yes,Yes,2.8/5,2016,Sarjapur Road,Quick Bites,Andhra,50,Quick Bites,Sarjapur Road
Pizza Hut - Hebbal,No,No,3.8/5,3486,Malleshwaram,Lounge,Rajasthani,500,Lounge,Malleshwaram
KFC - Banashankari,No,No,NEW,0,Koramangala,Lounge,Desserts,950,Lounge,Koramangala
Empire Restaurant - Whitefield,Yes,Yes,3.9/5,3714,Malleshwaram,Pub,Burgers,400,Pub,Malleshwaram
Cream Stone - Marathahalli,Yes,No,NEW,0,Indiranagar,Bakery,Rolls,250,Bakery,Indiranagar
Wow Momo - MG Road,Yes,No,3.9/5,1271,Yelahanka,Delivery,Biryani,150,Delivery,Yelahanka
MTR - Whitefield,Yes,No,2.6/5,3813,Marathahalli,Bakery,Bengali,350,Bakery,Marathahalli
Keventers - Rajajinagar,Yes,No,4.4/5,1624,JP Nagar,Pub,Street Food,500,Pub,JP Nagar
Brahmin's Coffee Bar - Banashankari,No,No,4.0/5,2408,KR Puram,Fine Dining,Burgers,1000,Fine Dining,KR Puram
Café Coffee Day - Shivajinagar,Yes,No,3.7/5,4845,Hebbal,Sweet Shop,Gujarati,150,Sweet Shop,Hebbal
Pizza Hut - Whitefield,No,No,4.0/5,2851,Malleshwaram,Café,Rajasthani,50,Café,Malleshwaram
